iter	RMSE
282	4.612879439
283	4.608679388
284	4.606521987
285	4.60512406
286	4.604717153
287	4.604293842
288	4.601604281
289	4.598165867
290	4.595616578
291	4.591533527
292	4.587143796
293	4.583924727
294	4.576583
295	4.57397033
296	4.571801434
297	4.570735985
298	4.567717926
299	4.567233867
300	4.56485832
301	4.562890307
302	4.557964808
303	4.554224122
304	4.552049815
305	4.548074986
306	4.543384305
307	4.542014458
308	4.537861439
309	4.534563227
310	4.53068155
311	4.524887404
312	4.524357483
313	4.52098741
314	4.515333178
315	4.514953678
316	4.511030053
317	4.506975863
318	4.5058918
319	4.502792104
320	4.501164208
321	4.495616022
322	4.494256075
323	4.490471405
324	4.489177988
325	4.482194132
326	4.477604586
327	4.472234303
328	4.46682022
329	4.462191465
330	4.459751054
331	4.454372785
332	4.450607628
333	4.447496182
334	4.441398743
335	4.4380772
336	4.43507235
337	4.432429054
338	4.430970993
339	4.428255951
340	4.425334897
341	4.419497865
342	4.416670214
343	4.410283509
344	4.406591433
345	4.404195139
346	4.402602856
347	4.398221727
348	4.394716827
349	4.391416115
350	4.388734959
351	4.387901249
352	4.382675216
353	4.380749595
354	4.377535843
355	4.373758016
356	4.372205387
357	4.365995696
358	4.364047771
359	4.360303629
360	4.357729303
361	4.35174493
362	4.346022798
363	4.344484948
364	4.343009709
365	4.340813412
366	4.337473087
367	4.332000208
368	4.329773104
369	4.327549536
370	4.324429047
371	4.319829522
372	4.315457629
373	4.309439592
374	4.305267714
375	4.302083183
376	4.299829245
377	4.298628309
378	4.292682511
379	4.292449756
380	4.287264107
381	4.284443629
382	4.28045695
383	4.278296547
384	4.272365714
385	4.267137811
386	4.261510005
387	4.261043541
388	4.257797038
389	4.254520289
390	4.24992367
391	4.246785264
392	4.24112765
393	4.235304454
394	4.233404287
395	4.230479739
396	4.228723524
397	4.22844356
398	4.2267177
399	4.224094292
400	4.222129621
401	4.220363434
402	4.216366547
403	4.21436988
404	4.211361359
405	4.208019452
406	4.20464503
407	4.201090518
408	4.199322929
409	4.195808929
410	4.193409396
411	4.188897283
412	4.184137544
413	4.178202353
414	4.175402272
415	4.17349321
416	4.169693178
417	4.168469289
418	4.166105697
419	4.16084213
420	4.158085916
421	4.155789678
422	4.154274985
423	4.150604702
424	4.149009016
425	4.148199142
426	4.146637238
427	4.142556131
428	4.140274269
429	4.139377897
430	4.137614448
431	4.135770012
432	4.13257824
433	4.130033417
434	4.128921476
435	4.124529391
436	4.121783892
437	4.11891047
438	4.116152568
439	4.113731795
440	4.111266785
441	4.110970917
442	4.105793657
443	4.101245783
444	4.099865509
445	4.098078304
446	4.096478905
447	4.093211311
448	4.092152022
449	4.091099562
450	4.086014617
451	4.081211534
452	4.0766752
453	4.072707247
454	4.072351041
455	4.068264853
456	4.065876487
457	4.06093807
458	4.058444194
459	4.056099945
460	4.053881253
461	4.049814098
462	4.04859126
463	4.046963711
464	4.045135857
465	4.042130522
466	4.041958999
467	4.039220899
468	4.037574562
469	4.035640134
470	4.033375614
471	4.030510047
472	4.025783933
473	4.021572661
474	4.017665439
475	4.01680808
476	4.015280625
477	4.012797858
478	4.00905463
479	4.006810534
480	4.00482347
481	4.004477791
482	4.003022354
483	4.00046844
484	3.996823242
485	3.995861766
486	3.99204201
487	3.988276637
488	3.983669401
489	3.982493382
490	3.979938802
491	3.979444532
492	3.97413019
493	3.969948334
494	3.967688096
495	3.963736964
496	3.959817916
497	3.959094107
498	3.955322175
499	3.95147799
500	3.949809688
501	3.948955071
502	3.947325714
503	3.945748083
504	3.94412676
505	3.940121976
506	3.936654451
507	3.933694471
508	3.932462627
509	3.92757417
510	3.92525469
511	3.92078304
512	3.915738403
513	3.914430764
514	3.91159323
515	3.909790834
516	3.907304813
517	3.907014115
518	3.901992431
519	3.898753955
520	3.895803376
521	3.892921393
522	3.889143673
523	3.886422083
524	3.885363967
525	3.88527628
526	3.883667474
527	3.8818662
528	3.879207609
529	3.876998922
530	3.874547928
531	3.872569823
532	3.872354813
533	3.870000757
534	3.869285193
535	3.868179729
536	3.865783189
537	3.863584128
538	3.863304713
539	3.863042565
540	3.861933691
541	3.860473332
542	3.860413303
543	3.858216313
544	3.856465236
545	3.854929082
546	3.850790105
547	3.846918647
548	3.845018047
549	3.843542819
550	3.840993656
551	3.840550543
552	3.837417847
553	3.835177392
554	3.83193329
555	3.830523746
556	3.82884699
557	3.828234878
558	3.825041271
559	3.822067913
560	3.821377693
561	3.820941085
562	3.820759009
563	3.817360148
564	3.81330618
565	3.808978219
566	3.807270019
567	3.806326499
568	3.804364223
569	3.802413169
570	3.799378556
571	3.795862598
572	3.794942234
573	3.791969084
574	3.789865257
575	3.786346396
576	3.784383908
577	3.782209006
578	3.780393919
579	3.777730176
580	3.77373152
581	3.772826868
582	3.772263494
583	3.769128386
584	3.766041534
585	3.762916447
586	3.760677547
587	3.758011838
588	3.754365687
589	3.752253964
590	3.747872524
591	3.74572797
592	3.741370103
593	3.739721661
594	3.738552792
595	3.737393618
596	3.735465301
597	3.732627276
598	3.731697292
599	3.729434977
600	3.726081351
601	3.722980633
602	3.719921456
603	3.714780787
604	3.712660082
605	3.708700436
606	3.705492025
607	3.704460097
608	3.701954295
609	3.70156827
610	3.701049605
611	3.700068173
612	3.698520367
613	3.69496911
614	3.693911285
615	3.693196352
616	3.691061024
617	3.688814868
618	3.687225564
619	3.686101621
620	3.683708722
621	3.681527794
622	3.679582564
623	3.676902037
624	3.676428846
625	3.675010066
626	3.673505375
627	3.67071265
628	3.669540175
629	3.667618422
630	3.667286078
631	3.664733807
632	3.66169182
633	3.659369378
634	3.657686365
635	3.657219632
636	3.65512054
637	3.653274028
638	3.650938746
639	3.64773107
640	3.646356891
641	3.643024041
642	3.64051365
643	3.6374148
644	3.635247758
645	3.631376437
646	3.628789839
647	3.628059855
648	3.625405638
649	3.62335231
650	3.622962181
651	3.620595251
652	3.617988159
653	3.617167204
654	3.614288721
655	3.612556062
656	3.611676382
657	3.607469579
658	3.606503709
659	3.602449707
660	3.600259301
661	3.60016584
662	3.599257781
663	3.596277501
664	3.59417337
665	3.59142581
666	3.589613774
667	3.586671155
668	3.586093086
669	3.583672327
670	3.582371838
671	3.580486699
672	3.579713485
673	3.57833787
674	3.575824742
675	3.573010085
676	3.572690833
677	3.570245301
678	3.568925851
679	3.566318675
680	3.564276874
681	3.561053817
682	3.559577934
683	3.554407216
684	3.551983729
685	3.549078796
686	3.54797975
687	3.546304204
688	3.545770981
689	3.543844898
690	3.540881353
691	3.538312768
692	3.535534136
693	3.533597921
694	3.532643338
695	3.530040338
696	3.526177518
697	3.524955386
698	3.522060077
699	3.520500731
700	3.519569652
701	3.519052293
702	3.517226327
703	3.514789465
704	3.512964816
705	3.511213768
706	3.510003014
707	3.506844301
708	3.5044026
709	3.502508088
710	3.501174623
711	3.500982739
712	3.499939379
713	3.497168559
714	3.49521377
715	3.491795642
716	3.491336613
717	3.488294869
718	3.486431168
719	3.486248688
720	3.48447708
721	3.484251399
722	3.48373836
723	3.48332474
724	3.481904807
725	3.479941547
726	3.475978288
727	3.473639893
728	3.471909676
729	3.470473484
730	3.467622277
731	3.464743857
732	3.464349637
733	3.464142532
734	3.463021256
735	3.461960941
736	3.46159392
737	3.459342886
738	3.458887975
739	3.456727571
740	3.453954253
741	3.453004598
742	3.450298335
743	3.449032398
744	3.447896994
745	3.443482822
746	3.439127545
747	3.438277108
748	3.435922292
749	3.433927759
750	3.431231307
751	3.428853817
752	3.425393291
753	3.423805967
754	3.421344963
755	3.420832327
756	3.418592252
757	3.418163588
758	3.416358448
759	3.415137076
760	3.413406371
761	3.413050528
762	3.411766569
763	3.409203694
764	3.408629804
765	3.406783952
766	3.405912434
767	3.403758981
768	3.400869536
769	3.398748693
770	3.396352294
771	3.395706935
772	3.393916637
773	3.393540009
774	3.391849574
775	3.389726971
776	3.387967495
777	3.385827903
778	3.38374901
779	3.382102986
780	3.381660885
781	3.380898271
782	3.377329348
783	3.375789884
784	3.375060953
785	3.372203573
786	3.371314635
787	3.36888551
788	3.367551883
789	3.366458105
790	3.363867631
791	3.36241726
792	3.360784123
793	3.359273967
794	3.35707124
795	3.355494983
796	3.354111173
797	3.351780826
798	3.348971694
799	3.348585922
800	3.34616388
801	3.344123403
802	3.34277207
803	3.342218626
804	3.34162868
805	3.34025251
806	3.339847177
807	3.337335318
808	3.335314225
809	3.334432165
810	3.332049824
811	3.331612393
812	3.330063327
813	3.327657883
814	3.326490383
815	3.326329991
816	3.324968701
817	3.322963402
818	3.322467281
819	3.319537688
820	3.317366962
821	3.31479239
822	3.311720788
823	3.311496347
824	3.310208224
825	3.307656811
826	3.305750624
827	3.304306267
828	3.302291512
829	3.300401019
830	3.300266333
831	3.298822605
832	3.297075004
833	3.295393482
834	3.295364845
835	3.293764572
836	3.290132484
837	3.286821164
838	3.284797827
839	3.284220461
840	3.282882992
841	3.279592685
842	3.278944136
843	3.27689352
844	3.276142333
845	3.274630084
846	3.273185994
847	3.272227426
848	3.271000823
849	3.268089108
850	3.267062408
851	3.263964115
852	3.262360589
853	3.260975999
854	3.259957433
855	3.258357825
856	3.255226753
857	3.254439092
858	3.253779819
859	3.252520205
860	3.251496003
861	3.248762268
862	3.248579318
863	3.247794316
864	3.247617952
865	3.247563813
866	3.246829388
867	3.244740415
868	3.244624104
869	3.242415247
870	3.240472868
871	3.237680902
872	3.235947956
873	3.235052273
874	3.234599167
875	3.23348355
876	3.230788491
877	3.227014185
878	3.22629721
879	3.225891501
880	3.224866577
881	3.223538308
882	3.222517821
883	3.221814488
884	3.220469867
885	3.218929431
886	3.217024053
887	3.214462748
888	3.212700198
889	3.209453301
890	3.207953275
891	3.204709259
892	3.204577903
893	3.201709358
894	3.200313507
895	3.200174341
896	3.199213716
897	3.196594531
898	3.194735671
899	3.192171627
900	3.191961508
901	3.191174486
902	3.189958829
903	3.189299154
904	3.188282694
905	3.186577442
906	3.185407659
907	3.185048447
908	3.183005078
909	3.181065983
910	3.178435326
911	3.176885516
912	3.173717445
913	3.173411637
914	3.170321522
915	3.169265078
916	3.167831439
917	3.167468812
918	3.166576573
919	3.165662654
920	3.164807176
921	3.163250932
922	3.161403906
923	3.160557676
924	3.159661046
925	3.158686197
926	3.15715255
927	3.154209297
928	3.150055332
929	3.146610546
930	3.144646988
931	3.143713875
932	3.141264553
933	3.139135598
934	3.137843651
935	3.137556025
936	3.136059701
937	3.13525074
938	3.132935792
939	3.131218213
940	3.130379803
941	3.130169671
942	3.129914372
943	3.129425317
944	3.12719665
945	3.126763324
946	3.122389412
947	3.120388337
948	3.119165276
949	3.118780232
950	3.118467374
951	3.117376796
952	3.115738423
953	3.115015648
954	3.11428954
955	3.113442977
956	3.111471221
957	3.110685717
958	3.110244599
959	3.110002726
960	3.109110327
961	3.106193608
962	3.105836338
963	3.104640259
964	3.102501612
965	3.101593638
966	3.101092536
967	3.098665359
968	3.097948939
969	3.097174048
970	3.097111884
971	3.095271785
972	3.094275859
973	3.093838621
974	3.092650959
975	3.092103445
976	3.090920283
977	3.089607987
978	3.089412352
979	3.088217202
980	3.088206582
981	3.087624936
982	3.08579609
983	3.084515939
984	3.084494494
985	3.082542638
986	3.082192149
987	3.080967311
988	3.080028571
989	3.079785946
990	3.078564412
991	3.077875374
992	3.076750122
993	3.073870547
994	3.07364678
995	3.073403691
996	3.071008895
997	3.070877187
998	3.070229222
999	3.069779455
